,time,gazex,gazey,app
118,2024-12-18 13:57:26.426367,699,391,Snap-store
119,2024-12-18 13:57:26.524613,740,404,Snap-store
120,2024-12-18 13:57:26.624257,776,408,Snap-store
121,2024-12-18 13:57:26.723991,812,413,Snap-store
122,2024-12-18 13:57:26.824665,842,417,Snap-store
123,2024-12-18 13:57:26.924301,869,418,Snap-store
124,2024-12-18 13:57:27.024210,892,422,Snap-store
125,2024-12-18 13:57:27.124013,902,430,Snap-store
126,2024-12-18 13:57:27.224106,894,436,Snap-store
127,2024-12-18 13:57:27.323593,864,432,Snap-store
128,2024-12-18 13:57:27.424984,828,423,Snap-store
129,2024-12-18 13:57:27.524503,794,414,Snap-store
130,2024-12-18 13:57:27.624209,761,410,Snap-store
131,2024-12-18 13:57:27.728394,727,404,Snap-store
132,2024-12-18 13:57:27.823853,691,397,Snap-store
133,2024-12-18 13:57:27.927082,655,391,Snap-store
134,2024-12-18 13:57:28.028823,623,382,Snap-store
135,2024-12-18 13:57:28.125379,588,367,Snap-store
136,2024-12-18 13:57:28.224344,554,351,Snap-store
137,2024-12-18 13:57:28.323913,529,336,Snap-store
138,2024-12-18 13:57:28.425306,496,322,Snap-store
139,2024-12-18 13:57:28.524424,467,308,Snap-store
140,2024-12-18 13:57:28.625263,444,294,Snap-store
141,2024-12-18 13:57:28.725475,419,285,Snap-store
142,2024-12-18 13:57:28.825248,400,274,Snap-store
143,2024-12-18 13:57:28.924582,387,256,Snap-store
